experiment,rank,validation_loss,accuracy,f1,total_parameters,trainable_parameters,trainable_parameter_percentage,training_time_seconds,peak_gpu_memory_mb
E0_frozen_baseline,0,0.3594629966884578,0.8394495412844036,0.8405466970387244,66955010,592130,0.8843699672362083,125.79105660599998,669.65478515625
E1_lora_r4,4,0.28092021734342665,0.8876146788990825,0.8915929203539823,67620868,665858,0.9846930684178736,271.50072164799985,1083.35595703125
E2_lora_r8,8,0.29656111428497034,0.8853211009174312,0.8891352549889135,67694596,739586,1.0925332946813067,271.0883861530001,1084.58642578125
